pair_id,track,profile,degraded_si_sdr_db,degraded_lsd_db,processed_si_sdr_db,processed_lsd_db
A_Classic_Education_-_NightOwl__parker,A_Classic_Education_-_NightOwl,parker,11.783,20.931,11.783,20.931
A_Classic_Education_-_NightOwl__acoustic,A_Classic_Education_-_NightOwl,acoustic,7.699,28.891,7.699,28.891
Actions_-_Devil_s_Words__parker,Actions_-_Devil_s_Words,parker,10.476,13.706,10.476,13.706
Actions_-_Devil_s_Words__acoustic,Actions_-_Devil_s_Words,acoustic,6.594,15.108,6.594,15.108
Actions_-_One_Minute_Smile__parker,Actions_-_One_Minute_Smile,parker,10.881,13.598,10.881,13.598
Actions_-_One_Minute_Smile__acoustic,Actions_-_One_Minute_Smile,acoustic,4.926,13.781,4.926,13.781
Actions_-_South_Of_The_Water__parker,Actions_-_South_Of_The_Water,parker,9.828,14.085,9.828,14.085
Actions_-_South_Of_The_Water__acoustic,Actions_-_South_Of_The_Water,acoustic,5.447,15.618,5.447,15.618
Aimee_Norwich_-_Child__parker,Aimee_Norwich_-_Child,parker,12.017,11.508,12.017,11.508
Aimee_Norwich_-_Child__acoustic,Aimee_Norwich_-_Child,acoustic,8.762,17.364,8.762,17.364
Alexander_Ross_-_Goodbye_Bolero__parker,Alexander_Ross_-_Goodbye_Bolero,parker,9.566,18.474,9.566,18.474
Alexander_Ross_-_Goodbye_Bolero__acoustic,Alexander_Ross_-_Goodbye_Bolero,acoustic,1.972,24.295,1.972,24.295
Alexander_Ross_-_Velvet_Curtain__parker,Alexander_Ross_-_Velvet_Curtain,parker,7.308,26.563,7.308,26.563
Alexander_Ross_-_Velvet_Curtain__acoustic,Alexander_Ross_-_Velvet_Curtain,acoustic,-8.355,36.667,-8.355,36.667
Angela_Thomas_Wade_-_Milk_Cow_Blues__parker,Angela_Thomas_Wade_-_Milk_Cow_Blues,parker,8.827,17.266,8.827,17.266
Angela_Thomas_Wade_-_Milk_Cow_Blues__acoustic,Angela_Thomas_Wade_-_Milk_Cow_Blues,acoustic,3.693,21.884,3.693,21.884
ANiMAL_-_Clinic_A__parker,ANiMAL_-_Clinic_A,parker,9.697,12.225,9.697,12.225
ANiMAL_-_Clinic_A__acoustic,ANiMAL_-_Clinic_A,acoustic,6.136,16.24,6.136,16.24
ANiMAL_-_Easy_Tiger__parker,ANiMAL_-_Easy_Tiger,parker,8.25,13.301,8.25,13.301
ANiMAL_-_Easy_Tiger__acoustic,ANiMAL_-_Easy_Tiger,acoustic,5.012,14.986,5.012,14.986
ANiMAL_-_Rockshow__parker,ANiMAL_-_Rockshow,parker,8.789,13.331,8.789,13.331
ANiMAL_-_Rockshow__acoustic,ANiMAL_-_Rockshow,acoustic,4.431,14.361,4.431,14.361
Atlantis_Bound_-_It_Was_My_Fault_For_Wai__parker,Atlantis_Bound_-_It_Was_My_Fault_For_Wai,parker,6.532,17.114,6.532,17.114
Atlantis_Bound_-_It_Was_My_Fault_For_Wai__acoustic,Atlantis_Bound_-_It_Was_My_Fault_For_Wai,acoustic,2.954,21.627,2.954,21.627
Auctioneer_-_Our_Future_Faces__parker,Auctioneer_-_Our_Future_Faces,parker,10.537,14.012,10.537,14.012
Auctioneer_-_Our_Future_Faces__acoustic,Auctioneer_-_Our_Future_Faces,acoustic,6.58,16.783,6.58,16.783
AvaLuna_-_Waterduct__parker,AvaLuna_-_Waterduct,parker,8.644,18.483,8.644,18.483
AvaLuna_-_Waterduct__acoustic,AvaLuna_-_Waterduct,acoustic,3.065,24.014,3.065,24.014
BigTroubles_-_Phantom__parker,BigTroubles_-_Phantom,parker,11.756,14.332,11.756,14.332
BigTroubles_-_Phantom__acoustic,BigTroubles_-_Phantom,acoustic,7.831,17.863,7.831,17.863
